Filename,Material,Thickness,Energy,Displacements,Energydeposit
si-610-1080-96,si,610,1080,1673685.8830813954,1591061.2850103981
cdte-1900-430-96,cdte,1900,430,33074.119594641554,1207033.7341660017
cdte-1000-280-96,cdte,1000,280,22962.3405223978,1268641.670198398
cdte-1300-1130-96,cdte,1300,1130,2295456.822546479,973823.6229442692
si-784-280-96,si,784,280,4785.369511078959,1980819.8924133694
cdte-1900-280-96,cdte,1900,280,23836.23139464156,1225190.232011942
si-784-180-96,si,784,180,1585.3695110789583,1694542.062372335
cdteneutron-1400-880-96,cdteneutron,1400,880,7330.609624843127,53527.160132320736
cdte-1300-1230-96,cdte,1300,1230,1699001.1781464792,979849.3655398402
cdte-1200-1330-96,cdte,1200,1330,1416395.7759786197,1011408.8016472027
si-610-380-96,si,610,380,342850.1461813952,1841281.397001087
cdteneutron-1100-30-96,cdteneutron,1100,30,6591.630630760622,9604.676539851622
si-610-1230-96,si,610,1230,1655773.5619813956,1620709.3671646817
cdteneutron-1600-230-96,cdteneutron,1600,230,7992.1191105586695,11156.33696108867
cdteneutron-1400-1080-96,cdteneutron,1400,1080,7356.809444843127,41486.03119730283
si-842-1030-96,si,842,1030,1456465.3068778086,1388724.7146542682
si-900-630-96,si,900,630,1824584.1595645393,1382980.9154184854
si-552-1080-96,si,552,1080,1717697.1814546653,1667964.7696077744
si-842-380-96,si,842,380,432631.49903780874,1701197.8555158183
cdte-1400-30-96,cdte,1400,30,2829.7204548431264,59939.22045484312
cdte-1800-130-96,cdte,1800,130,3637.740286277689,1511301.706642977
cdte-1900-1030-96,cdte,1900,1030,2127498.9780946416,908218.2000332014
cdte-1800-680-96,cdte,1800,680,31344.26868627769,1013206.2590067207
si-436-1030-96,si,436,1030,1829466.4737764588,1773610.3547975086
cdte-1700-230-96,cdte,1700,230,16354.55647892573,1462947.6067975957
cdteneutron-1800-1230-96,cdteneutron,1800,1230,8961.96633627769,52074.9624870219
si-668-480-96,si,668,480,861219.1591081249,1633556.9874219995
cdteneutron-1800-730-96,cdteneutron,1800,730,8815.669906277688,67782.64078424819
si-784-80-96,si,784,80,1585.3695110789583,16707.80055026896
cdte-1100-1280-96,cdte,1100,1280,1577776.6024307606,1029948.9901907317
si-668-80-96,si,668,80,1351.043808125087,14307.542879585088
cdteneutron-1600-830-96,cdteneutron,1600,830,8095.83718055867,48363.04499057347
cdte-1400-1230-96,cdte,1400,1230,1663284.5573548432,962187.8810448522
si-610-1280-96,si,610,1280,1629582.9918813955,1629834.3318560843
si-726-380-96,si,726,380,401118.67823485436,1757081.6972412237
si-378-880-96,si,378,880,1941823.582049729,1855178.4014144305
cdteneutron-1900-30-96,cdteneutron,1900,30,10642.772964641556,20504.075772275955
si-726-180-96,si,726,180,1468.2067348543985,1578937.0692716916
si-668-1280-96,si,668,1280,1600571.150708125,1583475.2149085214
cdteneutron-1800-330-96,cdteneutron,1800,330,8746.723076277689,23501.372686706687
cdteneutron-1200-530-96,cdteneutron,1200,530,13273.92525861976,34346.24569264596
cdte-1100-30-96,cdte,1100,30,2223.7054307606218,74897.00543076063
si-320-1330-96,si,320,1330,1847120.9929982515,1958166.8297023145
cdteneutron-1600-280-96,cdteneutron,1600,280,10871.312390558669,17808.37192065367
cdteneutron-1000-80-96,cdteneutron,1000,80,6625.8895723977985,8631.298582297799
cdteneutron-1100-1280-96,cdteneutron,1100,1280,6838.247140760622,42886.04455859362
si-320-30-96,si,320,30,648.0663982516053,250011.06639825163
cdte-1100-530-96,cdte,1100,530,29656.337730760624,1174716.9446723005
cdteneutron-1800-880-96,cdteneutron,1800,880,8548.569136277689,58084.182658426886
si-900-180-96,si,900,180,1819.6953645391893,1719246.9755206876
cdteneutron-1400-180-96,cdteneutron,1400,180,7406.0787048431275,9233.568185383127
cdte-2000-280-96,cdte,2000,280,24183.780303004634,1220656.8187941047
cdte-1300-730-96,cdte,1300,730,29719.506846479024,1040620.9754947339
cdteneutron-1100-380-96,cdteneutron,1100,380,7846.654210760622,31898.26469934862
cdte-1700-380-96,cdte,1700,380,31056.62537892573,1224823.6328931556
cdte-1200-980-96,cdte,1200,980,2303524.77238862,1005857.5387148857
si-494-180-96,si,494,180,999.5551031882958,1230422.158922635
cdte-1100-1130-96,cdte,1100,1130,2367428.9929307606,1016733.5739143626
cdte-1600-680-96,cdte,1600,680,30635.43337055867,1030140.0772860337
si-320-1180-96,si,320,1180,1889032.2659982517,1905277.6666836343
cdteneutron-1600-430-96,cdteneutron,1600,430,13758.034130558672,52227.480049403384
si-842-880-96,si,842,880,1531362.8016378083,1408153.2062041485
cdteneutron-1900-230-96,cdteneutron,1900,230,8794.921634641556,12196.373112413254
cdteneutron-1500-1280-96,cdteneutron,1500,1280,7702.400802195565,42923.118314029685
cdte-1400-1280-96,cdte,1400,1280,1459222.097844843,961607.5129704921
cdte-1500-1030-96,cdte,1500,1030,2238354.3960621953,953037.3458419957
cdte-1000-30-96,cdte,1000,30,2021.700322397799,81956.4003223978
cdteneutron-1300-330-96,cdteneutron,1300,330,7241.8579364790185,20538.428532044014
cdte-1400-1030-96,cdte,1400,1030,2268972.9209548426,968346.7465330662
cdte-1300-330-96,cdte,1300,330,23936.973046479023,1227859.561671339
cdteneutron-2000-780-96,cdteneutron,2000,780,9551.593673004636,32955.259632108835
cdteneutron-1600-1180-96,cdteneutron,1600,1180,7870.473810558669,39816.102307542664
cdte-1500-130-96,cdte,1500,130,3031.7252621955654,1490566.550121733
cdteneutron-1300-1280-96,cdteneutron,1300,1280,7355.129926479019,38143.95623938601
cdte-1600-30-96,cdte,1600,30,3233.7303705586687,53208.23037055869
cdte-1100-380-96,cdte,1100,380,31163.93943076062,1252714.4215506008
cdte-1600-930-96,cdte,1600,930,2252913.3548705587,947897.1807087413
si-726-130-96,si,726,130,1468.2067348543985,1685760.4264334107
cdteneutron-1300-130-96,cdteneutron,1300,130,7304.048336479018,9156.384831119018
cdte-1600-280-96,cdte,1600,280,24016.04897055867,1233356.2696822488
cdte-1400-480-96,cdte,1400,480,30536.979954843126,1182976.7175681633
si-900-1180-96,si,900,1180,1421893.4426645392,1395776.40011856
cdteneutron-1400-30-96,cdteneutron,1400,30,8261.645564843127,11086.440041008527
cdte-2000-930-96,cdte,2000,930,2211517.0717030047,921743.5331101486
si-784-680-96,si,784,680,1792679.0710110792,1466951.3835344785
cdte-2000-880-96,cdte,2000,880,2048263.1173030047,934517.9910092647
si-610-180-96,si,610,180,1233.880881395333,1381523.819804763
cdteneutron-1200-1080-96,cdteneutron,1200,1080,7181.8014586197605,40158.28325560517
si-378-1230-96,si,378,1230,1863129.160849729,1873585.7315946964
cdteneutron-1200-580-96,cdteneutron,1200,580,7217.39408861976,25325.364815187757
si-842-1080-96,si,842,1080,1501901.1753378087,1437253.619725803
cdteneutron-1900-730-96,cdteneutron,1900,730,9000.685244641556,56443.043626934654
cdte-1100-680-96,cdte,1100,680,26010.198130760622,1082024.2754535978
si-320-880-96,si,320,880,1956937.7004982515,1938373.4570111642
cdte-1900-1280-96,cdte,1900,1280,1271283.8779546414,889085.4160784215
si-436-1330-96,si,436,1330,1801740.0682764584,1825187.327985848
si-552-380-96,si,552,380,340563.70105466543,1907490.1173833215
si-378-330-96,si,378,330,222240.18714972885,2140064.7723744423
cdteneutron-1900-80-96,cdteneutron,1900,80,12154.260494641558,22707.76205934356
si-494-380-96,si,494,380,313955.5172031883,1952704.930256644
si-320-430-96,si,320,430,176820.07679825166,2026734.2763314694
cdte-1100-330-96,cdte,1100,330,24946.03093076062,1244808.0135661906
cdte-1000-730-96,cdte,1000,730,28474.169122397798,1079494.3480675998
si-668-830-96,si,668,830,1691413.426308125,1529614.6090972484
cdte-1000-230-96,cdte,1000,230,11429.813522397797,1517223.7952164176
si-320-1230-96,si,320,1230,1897606.7297982518,1945522.7362288137
cdte-1600-130-96,cdte,1600,130,3233.7303705586687,1488752.8132412708
si-668-280-96,si,668,280,3708.0202081250873,1948496.1786643357
si-436-530-96,si,436,530,1928088.8846764583,1788843.0175683976
cdte-1600-1030-96,cdte,1600,1030,2208181.010870558,935370.5384449788
si-436-580-96,si,436,580,2123035.952376459,1795641.932297568
cdteneutron-2000-430-96,cdteneutron,2000,430,14757.135863004636,53925.100259835635
si-378-1080-96,si,378,1080,1909067.7240497288,1874569.579895877
cdte-1900-180-96,cdte,1900,180,3839.745394641557,1844840.0412575242
si-610-680-96,si,610,680,1910799.9236813951,1627374.561589732
cdteneutron-1800-180-96,cdteneutron,1800,180,8599.999466277688,15259.48922012269
cdteneutron-1200-330-96,cdteneutron,1200,330,7341.981466619759,17461.09324197766
si-610-1130-96,si,610,1130,1661315.8131813956,1605042.3581023782
cdte-1900-380-96,cdte,1900,380,32129.101094641555,1215096.7032751013
cdte-1200-480-96,cdte,1200,480,30320.53028861976,1198498.0378345095
cdteneutron-1800-930-96,cdteneutron,1800,930,8934.04923627769,59061.2985477327
si-320-1080-96,si,320,1080,1876720.4540982514,1885255.3254439847
cdte-1400-880-96,cdte,1400,880,1928757.980754843,986523.2827236571
cdte-1400-80-96,cdte,1400,80,2829.7204548431264,885103.490899323
cdte-1400-630-96,cdte,1400,630,30810.909354843126,1077497.8667168831
cdteneutron-1700-430-96,cdteneutron,1700,430,13975.82646892573,50062.97176398578
si-436-230-96,si,436,230,3219.7865764587596,1002813.5085653465
