Filename,Material,Thickness,Energy,Fluence1,Fluence1 error (%),Fluence2,Fluence2 error (%)
cdte-1000-1030,cdte,1000,1030,6666.627,3.3880782E-04,6474.708,1.4809877E-02
cdte-1000-1080,cdte,1000,1080,6666.611,0.000000,6484.727,1.5451964E-02
cdte-1000-1130,cdte,1000,1130,6666.683,2.7343200E-04,6486.856,2.2448024E-02
cdte-1000-1180,cdte,1000,1180,6666.680,7.5621094E-04,6489.945,2.2607775E-02
cdte-1000-1230,cdte,1000,1230,6666.661,5.0854118E-04,6494.171,1.7104585E-02
cdte-1000-1280,cdte,1000,1280,6666.655,3.5439010E-04,6498.529,2.1302031E-02
cdte-1000-130,cdte,1000,130,6666.737,1.5178184E-03,4117.201,9.2628054E-02
cdte-1000-1330,cdte,1000,1330,6666.624,3.1079203E-04,6502.387,2.5757806E-02
cdte-1000-180,cdte,1000,180,6666.767,1.7278950E-03,5340.236,6.4590774E-02
cdte-1000-230,cdte,1000,230,6666.866,3.0950836E-03,5830.303,6.0733490E-02
cdte-1000-280,cdte,1000,280,6666.639,1.8946803E-04,6058.633,2.3292396E-02
cdte-1000-30,cdte,1000,30,0.000000,0.000000,0.000000,0.000000
cdte-1000-330,cdte,1000,330,6666.605,0.000000,6180.867,5.7799567E-02
cdte-1000-380,cdte,1000,380,6667.040,5.7261069E-03,6256.936,3.5596833E-02
cdte-1000-430,cdte,1000,430,6666.855,3.1436416E-03,6302.984,2.7953284E-02
cdte-1000-480,cdte,1000,480,6666.683,6.3889252E-04,6344.993,3.8422532E-02
cdte-1000-530,cdte,1000,530,6666.952,3.2514133E-03,6365.907,3.2197274E-02
cdte-1000-580,cdte,1000,580,6666.767,1.3661830E-03,6386.420,2.1549830E-02
cdte-1000-630,cdte,1000,630,6666.628,2.1507742E-04,6403.842,1.4836853E-02
cdte-1000-680,cdte,1000,680,6666.627,2.1574560E-04,6416.708,2.0783350E-02
cdte-1000-730,cdte,1000,730,6666.828,3.1061675E-03,6427.542,4.7257084E-02
cdte-1000-780,cdte,1000,780,6666.667,2.6661548E-04,6441.664,1.4252434E-02
cdte-1000-80,cdte,1000,80,6666.639,7.9408375E-04,1175.402,0.3885755
cdte-1000-830,cdte,1000,830,6666.594,2.0564681E-04,6448.906,1.2627308E-02
cdte-1000-880,cdte,1000,880,6666.693,4.8898644E-04,6455.056,1.1956341E-02
cdte-1000-930,cdte,1000,930,6666.667,3.7180181E-04,6463.542,3.0166440E-02
cdte-1000-980,cdte,1000,980,6666.637,4.8026745E-04,6469.803,1.3612201E-02
cdte-1100-1030,cdte,1100,1030,6666.633,4.1571335E-04,6455.272,2.1962658E-02
cdte-1100-1080,cdte,1100,1080,6666.652,3.6047323E-04,6460.876,2.5806349E-02
cdte-1100-1130,cdte,1100,1130,6666.672,2.5706380E-04,6467.333,2.8674863E-02
cdte-1100-1180,cdte,1100,1180,6666.642,2.4280003E-04,6471.306,2.0875366E-02
cdte-1100-1230,cdte,1100,1230,6666.672,4.9442932E-04,6473.507,1.8912477E-02
cdte-1100-1280,cdte,1100,1280,6666.645,1.5897809E-04,6481.776,1.8131390E-02
cdte-1100-130,cdte,1100,130,6666.728,1.4736840E-03,3910.722,0.1185916
cdte-1100-1330,cdte,1100,1330,6666.599,0.000000,6486.631,2.3212688E-02
cdte-1100-180,cdte,1100,180,6666.761,1.8041516E-03,5219.544,7.2883181E-02
cdte-1100-230,cdte,1100,230,6666.864,3.2213146E-03,5743.829,3.2603558E-02
cdte-1100-280,cdte,1100,280,6666.647,1.1701974E-04,5997.152,6.1645027E-02
cdte-1100-30,cdte,1100,30,0.000000,0.000000,0.000000,0.000000
cdte-1100-330,cdte,1100,330,6666.605,0.000000,6133.087,4.7504522E-02
cdte-1100-380,cdte,1100,380,6667.012,5.8142557E-03,6215.753,4.7775671E-02
cdte-1100-430,cdte,1100,430,6666.875,3.0975202E-03,6268.638,8.5257061E-02
cdte-1100-480,cdte,1100,480,6666.642,0.000000,6306.774,4.5049105E-02
cdte-1100-530,cdte,1100,530,6666.952,3.2514133E-03,6335.757,3.8132008E-02
cdte-1100-580,cdte,1100,580,6666.749,1.3266122E-03,6355.876,9.8593095E-03
cdte-1100-630,cdte,1100,630,6666.639,0.000000,6373.498,4.1925523E-02
cdte-1100-680,cdte,1100,680,6666.850,3.1141564E-03,6389.000,5.5650685E-02
cdte-1100-730,cdte,1100,730,6666.921,3.1459008E-03,6402.105,2.7546583E-02
cdte-1100-780,cdte,1100,780,6666.867,3.0533865E-03,6415.999,4.7297902E-02
cdte-1100-80,cdte,1100,80,6666.639,7.9408375E-04,981.3376,0.2888493
cdte-1100-830,cdte,1100,830,6666.580,2.5134865E-04,6424.337,4.2313449E-02
cdte-1100-880,cdte,1100,880,6666.648,0.000000,6432.528,3.1729899E-02
cdte-1100-930,cdte,1100,930,6666.649,2.4095693E-04,6439.242,1.8254379E-02
cdte-1100-980,cdte,1100,980,6666.656,4.7380500E-04,6448.876,1.8455492E-02
cdte-1200-1030,cdte,1200,1030,6666.616,2.2232767E-04,6436.215,1.5872546E-02
cdte-1200-1080,cdte,1200,1080,6666.635,3.0817222E-04,6441.218,2.8897839E-02
cdte-1200-1130,cdte,1200,1130,6666.672,2.5487324E-04,6448.005,8.2154144E-03
cdte-1200-1180,cdte,1200,1180,6666.642,2.4279721E-04,6453.055,2.8289989E-02
cdte-1200-1230,cdte,1200,1230,6666.674,5.1581633E-04,6454.245,2.7849680E-02
cdte-1200-1280,cdte,1200,1280,6666.645,1.5897809E-04,6463.453,2.1506783E-02
cdte-1200-130,cdte,1200,130,6666.737,1.4554389E-03,3719.429,8.7072030E-02
cdte-1200-1330,cdte,1200,1330,6666.613,1.4798077E-04,6466.452,1.9899126E-02
cdte-1200-180,cdte,1200,180,6666.977,4.7500320E-03,5103.440,5.6359503E-02
cdte-1200-230,cdte,1200,230,6666.866,3.2146061E-03,5666.556,4.5856293E-02
cdte-1200-280,cdte,1200,280,6666.663,6.3038035E-04,5935.345,5.4221332E-02
cdte-1200-30,cdte,1200,30,0.000000,0.000000,0.000000,0.000000
cdte-1200-330,cdte,1200,330,6666.592,2.0855514E-04,6083.268,4.6285968E-02
cdte-1200-380,cdte,1200,380,6667.043,5.7094656E-03,6169.612,3.7467517E-02
cdte-1200-430,cdte,1200,430,6666.873,3.1042374E-03,6229.080,4.5341082E-02
cdte-1200-480,cdte,1200,480,6666.640,0.000000,6270.878,4.6765219E-02
cdte-1200-530,cdte,1200,530,6666.952,3.2503831E-03,6305.714,2.2310242E-02
cdte-1200-580,cdte,1200,580,6666.748,1.5905014E-03,6328.626,2.2495532E-02
cdte-1200-630,cdte,1200,630,6666.639,0.000000,6345.739,2.1614358E-02
cdte-1200-680,cdte,1200,680,6666.848,3.1208859E-03,6364.536,3.0794110E-02
cdte-1200-730,cdte,1200,730,6666.809,2.9247217E-03,6378.405,3.1401809E-02
cdte-1200-780,cdte,1200,780,6666.877,3.0378131E-03,6391.258,3.4228560E-02
cdte-1200-80,cdte,1200,80,6666.644,7.7227177E-04,826.0339,0.2382396
cdte-1200-830,cdte,1200,830,6666.596,2.2334125E-04,6399.021,3.9033439E-02
cdte-1200-880,cdte,1200,880,6666.656,1.2685671E-04,6408.002,2.5425933E-02
cdte-1200-930,cdte,1200,930,6666.852,2.6787496E-03,6420.815,3.7975162E-02
cdte-1200-980,cdte,1200,980,6666.656,4.7380500E-04,6425.314,2.6104832E-02
cdte-1300-1030,cdte,1300,1030,6666.642,1.1856307E-04,6414.419,2.3627805E-02
cdte-1300-1080,cdte,1300,1080,6666.647,5.0151558E-04,6420.550,1.1604637E-02
cdte-1300-1130,cdte,1300,1130,6666.705,5.0921110E-04,6425.242,2.9779961E-02
cdte-1300-1180,cdte,1300,1180,6666.661,4.5034935E-04,6433.140,4.5555431E-02
cdte-1300-1230,cdte,1300,1230,6666.631,0.000000,6435.010,1.6362356E-02
cdte-1300-1280,cdte,1300,1280,6666.645,1.5897809E-04,6443.776,1.6475236E-02
cdte-1300-130,cdte,1300,130,6666.809,1.6109259E-03,3541.456,8.8309735E-02
